R_int	Phi_global	P_surf
1.0697785278e+07	9.8272555534e-01	6.9986579962e+03
1.0697785278e+07	9.8272351546e-01	7.0401058187e+03
1.0697785278e+07	9.8272007312e-01	7.0543985499e+03
1.0697785278e+07	9.8271668409e-01	7.0660108042e+03
1.0697785278e+07	9.8271334767e-01	7.0737591686e+03
1.0697785278e+07	9.8271004898e-01	7.0783593976e+03
1.0697785278e+07	9.8270677192e-01	7.0811689628e+03
1.0697785278e+07	9.8270350736e-01	7.0830424400e+03
1.0697785278e+07	9.8270025025e-01	7.0844600690e+03
1.0697785278e+07	9.8269699834e-01	7.0856553315e+03
1.0697785278e+07	9.8269375107e-01	7.0867399622e+03
1.0697785278e+07	9.8269050919e-01	7.0877899210e+03
1.0697785278e+07	9.8268727333e-01	7.0887715290e+03
1.0697785278e+07	9.8268404572e-01	7.0896999777e+03
1.0697785278e+07	9.8268083135e-01	7.0905962829e+03
1.0697785278e+07	9.8267764214e-01	7.0914903288e+03
1.0697785278e+07	9.8267449404e-01	7.0923168701e+03
1.0697785278e+07	9.8267141935e-01	7.0930451943e+03
1.0697785278e+07	9.8266849174e-01	7.0936312895e+03
1.0697785278e+07	9.8266585602e-01	7.0939201096e+03
1.0697785278e+07	9.8266374676e-01	7.0936082933e+03
1.0697785278e+07	9.8266264545e-01	7.0924483910e+03
1.0697785278e+07	9.8266255275e-01	7.0901250826e+03
1.0697785278e+07	9.8266327298e-01	7.0860832836e+03
1.0697785278e+07	9.8266457959e-01	7.0794338023e+03
1.0697785278e+07	9.8266622467e-01	7.0687622692e+03
1.0697785278e+07	9.8266815113e-01	7.0517328997e+03
1.0697785278e+07	9.8267074133e-01	7.0244564991e+03
1.0697785278e+07	9.8267478308e-01	6.9805587803e+03
1.0697785278e+07	9.8267924235e-01	6.9327631798e+03
1.0697785278e+07	9.8268382453e-01	6.8844487668e+03
1.0697785278e+07	9.8268853112e-01	6.8355952311e+03
1.0697785278e+07	9.8269336263e-01	6.7861902914e+03
1.0697785278e+07	9.8269764834e-01	6.7368177667e+03
1.0697785278e+07	9.8270155267e-01	6.6869131385e+03
1.0697785278e+07	9.8270503989e-01	6.6364574270e+03
1.0697785278e+07	9.8267783417e-01	6.5855191276e+03
1.0697785278e+07	9.8257039808e-01	6.5342274135e+03
1.0697785278e+07	9.8249579340e-01	6.5297227841e+03
1.0697785278e+07	9.8243716175e-01	6.5303630586e+03
1.0697785278e+07	9.8237745073e-01	6.5312808716e+03
1.0697785278e+07	9.8231715223e-01	6.5324787488e+03
1.0697785278e+07	9.8225661220e-01	6.5339166394e+03
1.0697785278e+07	9.8219530894e-01	6.5355510812e+03
1.0697785278e+07	9.8213358685e-01	6.5373451997e+03
1.0697785278e+07	9.8207146301e-01	6.5392720362e+03
1.0697785278e+07	9.8200838074e-01	6.5413128494e+03
1.0697785278e+07	9.8194507861e-01	6.5434508125e+03
1.0697785278e+07	9.8187980480e-01	6.5456781511e+03
1.0697785278e+07	9.8181371739e-01	6.5479828182e+03
